Class Name,Line Number
SynchronizeViewRemoteAwareChangeSetModelTest.java,194
SynchronizeViewRemoteAwareChangeSetModelTest.java,196
SynchronizeViewRemoteAwareChangeSetModelTest.java,197
SelectionForViewsTest.java,95
SelectionForViewsTest.java,99
DisconnectConnectTest.java,89
DisconnectConnectTest.java,108
GitCloneWizardTestBase.java,79
GitCloneWizardTestBase.java,94
RemoveFromIndexOperationTest.java,50
RemoveFromIndexOperationTest.java,57
RemoveFromIndexOperationTest.java,78
RemoveFromIndexOperationTest.java,92
RemoveFromIndexOperationTest.java,93
RemoveFromIndexOperationTest.java,108
RemoveFromIndexOperationTest.java,129
RemoveFromIndexOperationTest.java,130
RemoveFromIndexOperationTest.java,158
RemoveFromIndexOperationTest.java,159
RemoveFromIndexOperationTest.java,187
RemoveFromIndexOperationTest.java,188
RemoveFromIndexOperationTest.java,209
TagOperationTest.java,50
TagOperationTest.java,54
LinkedResourcesTest.java,80
LinkedResourcesTest.java,82
LinkedResourcesTest.java,83
LinkedResourcesTest.java,89
LinkedResourcesTest.java,92
LinkedResourcesTest.java,101
LinkedResourcesTest.java,104
LinkedResourcesTest.java,150
LinkedResourcesTest.java,152
LinkedResourcesTest.java,156
LinkedResourcesTest.java,166
LinkedResourcesTest.java,179
LinkedResourcesTest.java,182
LinkedResourcesTest.java,211
LinkedResourcesTest.java,213
LinkedResourcesTest.java,110
GitRepositoriesViewRepoHandlingTest.java,98
GitRepositoriesViewRepoHandlingTest.java,347
GitRepositoriesViewRepoHandlingTest.java,353
GitRepositoriesViewRepoHandlingTest.java,364
GitRepositoriesViewRepoHandlingTest.java,386
GitRepositoriesViewRepoHandlingTest.java,390
EGitSecureStoreTest.java,212
MergeWithPreferredStrategyTest.java,62
GitModelBlobTest.java,250
CreatePatchActionTest.java,131
CreatePatchActionTest.java,134
CreatePatchActionTest.java,167
CreatePatchActionTest.java,206
ResetOperationTest.java,129
ResetOperationTest.java,133
CommitOperationTest.java,57
CommitOperationTest.java,74
CommitOperationTest.java,82
CommitOperationTest.java,85
CommitOperationTest.java,93
CommitOperationTest.java,95
CommitOperationTest.java,114
CommitOperationTest.java,122
CommitOperationTest.java,124
CommitOperationTest.java,169
CommitOperationTest.java,171
CommitOperationTest.java,191
CommitOperationTest.java,195
CommitOperationTest.java,201
CommitOperationTest.java,218
CommitOperationTest.java,228
CommitOperationTest.java,230
CommitOperationTest.java,231
CommitOperationTest.java,251
CommitOperationTest.java,253
CommitOperationTest.java,271
CommitOperationTest.java,278
CommitOperationTest.java,280
CommitOperationTest.java,299
CommitOperationTest.java,305
CommitOperationTest.java,307
CommitOperationTest.java,326
SubmoduleAndContainerTreeIteratorTest.java,59
SubmoduleAndContainerTreeIteratorTest.java,61
SubmoduleAndContainerTreeIteratorTest.java,71
SubmoduleAndContainerTreeIteratorTest.java,73
SubmoduleAndContainerTreeIteratorTest.java,111
GitMoveDeleteHookTest.java,111
GitMoveDeleteHookTest.java,125
GitMoveDeleteHookTest.java,143
GitMoveDeleteHookTest.java,145
GitMoveDeleteHookTest.java,161
GitMoveDeleteHookTest.java,163
GitMoveDeleteHookTest.java,165
GitMoveDeleteHookTest.java,168
GitMoveDeleteHookTest.java,175
GitMoveDeleteHookTest.java,176
GitMoveDeleteHookTest.java,189
GitMoveDeleteHookTest.java,192
GitMoveDeleteHookTest.java,194
GitMoveDeleteHookTest.java,198
GitMoveDeleteHookTest.java,204
GitMoveDeleteHookTest.java,206
GitMoveDeleteHookTest.java,210
GitMoveDeleteHookTest.java,211
GitMoveDeleteHookTest.java,216
GitMoveDeleteHookTest.java,217
GitMoveDeleteHookTest.java,220
GitMoveDeleteHookTest.java,226
GitMoveDeleteHookTest.java,228
GitMoveDeleteHookTest.java,234
GitMoveDeleteHookTest.java,237
GitMoveDeleteHookTest.java,246
GitMoveDeleteHookTest.java,259
GitMoveDeleteHookTest.java,274
GitMoveDeleteHookTest.java,276
GitMoveDeleteHookTest.java,279
GitMoveDeleteHookTest.java,280
GitMoveDeleteHookTest.java,286
GitMoveDeleteHookTest.java,287
GitMoveDeleteHookTest.java,288
GitMoveDeleteHookTest.java,289
GitMoveDeleteHookTest.java,290
GitMoveDeleteHookTest.java,293
GitMoveDeleteHookTest.java,295
GitMoveDeleteHookTest.java,296
GitMoveDeleteHookTest.java,300
GitMoveDeleteHookTest.java,302
GitMoveDeleteHookTest.java,305
GitMoveDeleteHookTest.java,307
GitMoveDeleteHookTest.java,311
GitMoveDeleteHookTest.java,324
GitMoveDeleteHookTest.java,326
GitMoveDeleteHookTest.java,330
GitMoveDeleteHookTest.java,331
GitMoveDeleteHookTest.java,336
GitMoveDeleteHookTest.java,337
GitMoveDeleteHookTest.java,338
GitMoveDeleteHookTest.java,339
GitMoveDeleteHookTest.java,340
GitMoveDeleteHookTest.java,344
GitMoveDeleteHookTest.java,351
GitMoveDeleteHookTest.java,353
GitMoveDeleteHookTest.java,354
GitMoveDeleteHookTest.java,357
GitMoveDeleteHookTest.java,359
GitMoveDeleteHookTest.java,360
GitMoveDeleteHookTest.java,363
GitMoveDeleteHookTest.java,381
GitMoveDeleteHookTest.java,384
GitMoveDeleteHookTest.java,401
GitMoveDeleteHookTest.java,418
GitMoveDeleteHookTest.java,421
GitMoveDeleteHookTest.java,437
GitMoveDeleteHookTest.java,454
GitMoveDeleteHookTest.java,457
GitMoveDeleteHookTest.java,460
GitMoveDeleteHookTest.java,473
GitMoveDeleteHookTest.java,583
GitMoveDeleteHookTest.java,593
GitMoveDeleteHookTest.java,614
GitMoveDeleteHookTest.java,681
